generation,best_fitness,mean_fitness
0,0.017685,0.000423
1,0.019679,0.003632
2,0.019679,0.014452
3,0.145654,0.020629
4,0.145654,0.036261
5,0.145654,0.126147
6,0.145654,0.119147
7,0.145654,0.115639
8,0.145654,0.126485
9,0.145654,0.125415
10,0.145654,0.128628
11,0.145654,0.127243
12,0.145654,0.130037
13,0.145654,0.125820
14,0.145654,0.126908
15,0.145654,0.126280
16,0.145654,0.121400
17,0.145654,0.115696
18,0.145654,0.135679
19,0.145654,0.131245
20,0.145654,0.117396
21,0.145711,0.121323
22,0.145711,0.122960
23,0.145711,0.131331
24,0.145711,0.129398
25,0.145711,0.127249
26,0.145711,0.138610
27,0.145711,0.124516
28,0.145711,0.134447
29,0.145711,0.128381
30,0.145711,0.127395
